id,sequence_id,split
1021a0914a7207aff927ed529ad90a11,00246,train
1021a0914a7207aff927ed529ad90a11,00258,train
1021a0914a7207aff927ed529ad90a11,00104,train
1021a0914a7207aff927ed529ad90a11,00091,train
1021a0914a7207aff927ed529ad90a11,00119,train
1021a0914a7207aff927ed529ad90a11,00259,train
1021a0914a7207aff927ed529ad90a11,00173,train
1021a0914a7207aff927ed529ad90a11,00261,train
1021a0914a7207aff927ed529ad90a11,00093,train
1021a0914a7207aff927ed529ad90a11,00064,train
1021a0914a7207aff927ed529ad90a11,00242,train
1021a0914a7207aff927ed529ad90a11,00005,train
1021a0914a7207aff927ed529ad90a11,00179,train
1021a0914a7207aff927ed529ad90a11,00031,train
1021a0914a7207aff927ed529ad90a11,00027,train
1021a0914a7207aff927ed529ad90a11,00057,train
1021a0914a7207aff927ed529ad90a11,00135,train
1021a0914a7207aff927ed529ad90a11,00039,train
1021a0914a7207aff927ed529ad90a11,00133,train
1021a0914a7207aff927ed529ad90a11,00222,train
1021a0914a7207aff927ed529ad90a11,00185,train
1021a0914a7207aff927ed529ad90a11,00055,train
1021a0914a7207aff927ed529ad90a11,00240,train
1021a0914a7207aff927ed529ad90a11,00103,train
1026dd1b26120799107f68a9cb8e3c,00265,train
1026dd1b26120799107f68a9cb8e3c,00090,train
1026dd1b26120799107f68a9cb8e3c,00242,train
1026dd1b26120799107f68a9cb8e3c,00252,train
1026dd1b26120799107f68a9cb8e3c,00103,train
1026dd1b26120799107f68a9cb8e3c,00181,train
1026dd1b26120799107f68a9cb8e3c,00261,train
1026dd1b26120799107f68a9cb8e3c,00162,train
1026dd1b26120799107f68a9cb8e3c,00004,train
1026dd1b26120799107f68a9cb8e3c,00169,train
1026dd1b26120799107f68a9cb8e3c,00024,train
1026dd1b26120799107f68a9cb8e3c,00173,train
1026dd1b26120799107f68a9cb8e3c,00132,train
1026dd1b26120799107f68a9cb8e3c,00131,train
1026dd1b26120799107f68a9cb8e3c,00040,train
